id,building,room,days,start_time,end_time
406,SQU,328,T,0900AM,1150AM
407,SQU,328,T,0130PM,0420PM
408,SQU,328,R,0900AM,1150AM
409,HMB,202,MW,0800AM,0850AM
410,SQU,328,M,0900AM,1150AM
411,SQU,328,M,0100PM,0350PM
412,SQU,328,W,0900AM,1150AM
413,HMB,124,TR,0900AM,1015AM
414,HMB,124,TR,1030AM,1145AM
415,SQU,212,MW,0100PM,0150PM
416,SQU,212,M,0200PM,0450PM
417,WEB,ONLINE,TR,0130PM,0245PM
418,TSC,4016,M,0300PM,0550PM
419,TSC,4016,T,0300PM,0550PM
420,HMB,202,TR,0300PM,0350PM
421,TSC,4016,WF,0900AM,1150AM
422,TSC,4016,WF,0100PM,0350PM
423,HMB,109,TR,0130PM,0245PM
424,TSC,1001,TR,0300PM,0415PM
425,TSC,5014,TR,0730AM,0845AM
426,TSC,5014,TR,0900AM,1015AM
427,TSC,5014,TR,1030AM,1145AM
428,TSC,5014,TR,1200PM,0115PM
429,ALP,204,MWF,1000AM,1050AM
430,TSC,5014,MW,0130PM,0245PM
431,TSC,5014,MW,0300PM,0415PM
432,TSC,5014,MW,0430PM,0545PM
433,HMB,202,W,0600PM,0650PM
434,HMB,202,TR,0400PM,0515PM
435,SQU,338,MW,0430PM,0545PM
436,HMB,109,F,1000AM,1250PM
437,HMB,109,F,0100PM,0350PM
438,RVR,1010,MW,0300PM,0415PM
439,TSC,5027,MW,0900AM,0950AM
440,TSC,5027,MW,1000AM,1115AM
441,HMB,202,TR,0300PM,0350PM
442,TSC,4016,WF,0900AM,1150AM
443,TSC,4016,WF,0100PM,0350PM
444,LIB,128,TR,0130PM,0245PM
445,TSC,1005,T,0600PM,0650PM
446,HMB,109,M,0130PM,0320PM
447,HMB,124,W,0200PM,0420PM
448,HMB,207,W,0130PM,0420PM
449,HMB,207,W,0430PM,0720PM
450,HMB,124,W,0430PM,0720PM
451,ALP,235,TR,0430PM,0545PM
452,EUR,107,MW,0300PM,0415PM
453,ALP,156,MW,0430PM,0545PM
454,EUR,107,TR,0130PM,0245PM
455,EUR,107,TR,0300PM,0415PM
456,AMD,153,MW,1200PM,0115PM
457,LIB,3021,MW,1200PM,0115PM
458,LIB,3021,MW,0130PM,0245PM
459,LIB,3021,MW,0300PM,0415PM
460,BNC,1025,MW,0430PM,0545PM
461,TAH,1003,TR,1030AM,1145AM
462,TAH,1003,TR,1200PM,0115PM
463,TAH,1007,TR,0130PM,0245PM
464,ALP,204,TR,0300PM,0415PM
465,ALP,144,TR,0430PM,0545PM
466,TAH,1007,TR,0600PM,0715PM
467,AMD,219,MW,1200PM,0115PM
468,AMD,219,MW,0130PM,0245PM
469,AMD,219,MW,0300PM,0415PM
470,DLN,1004,M,1200PM,1250PM
471,ARC,1014,M,0900AM,0950AM
472,ARC,1015,W,0900AM,1150AM
473,ARC,1015,T,1030AM,1120AM
474,ARC,1015,R,1030AM,0120PM
475,ARC,1015,M,0130PM,0220PM
476,ARC,1015,F,0100PM,0350PM
477,MND,4000,MW,1100AM,1150AM
478,DH,106,TR,0900AM,0950AM
479,TEB,1118B,M,0200PM,0450PM
480,TEB,1118B,T,0200PM,0450PM
481,TEB,1118B,R,1100AM,0150PM
482,TEB,1118B,R,0200PM,0450PM
483,RVR,1012,F,1100AM,0150PM
484,RVR,1010,F,0200PM,0450PM
485,TAH,1007,TR,1200PM,1250PM
486,ARC,1011,MW,0130PM,0245PM
487,ARC,1015,F,0900AM,1150AM
488,RVR,1010,MW,1030AM,1145AM
489,TEB,1224,M,0130PM,0420PM
490,TEB,1224,W,0130PM,0420PM
491,TEB,1224,F,0900AM,1150AM
492,ARC,1014,TR,0730AM,0845AM
493,SQU,142,TR,0430PM,0545PM
494,MND,1020,MW,1200PM,0115PM
495,MND,3013,TR,0130PM,0245PM
496,TEB,1118D,M,0330PM,0620PM
497,TEB,1118D,T,0330PM,0620PM
498,TEB,1118D,R,0330PM,0620PM
499,TEB,1118D,F,0330PM,0620PM
500,YSM,135,TR,1200PM,0115PM
501,RVR,1006,TR,0600PM,0715PM
502,AMD,219,MW,1000AM,1050AM
503,ARC,1010,TR,1200PM,1250PM
504,RVR,4033,T,0130PM,0420PM
505,RVR,4033,W,0130PM,0420PM
506,RVR,4033,F,1000AM,1250PM
507,ARC,1014,TR,1100AM,1150AM
508,MND,4008,MW,1100AM,1150AM
509,RVR,1012,TR,1030AM,1145AM
510,TEB,1125,M,0130PM,0420PM
511,TEB,1125,T,0130PM,0420PM
512,TEB,1125,W,0130PM,0420PM
513,TEB,1125,R,0130PM,0420PM
514,RVR,1012,MW,1030AM,1145AM
515,ARC,1007,TR,0430PM,0545PM
516,RVR,1010,MW,1200PM,0115PM
517,AMD,240,TR,0900AM,1015AM
518,MND,3011,TR,0430PM,0545PM
519,TEB,1118B,M,0900AM,1150AM
520,TEB,1118B,W,0900AM,1150AM
