id,building,room,days,start_time,end_time
904,MND,4000,MW,0130PM,0245PM
905,WEB,ONLINE,TR,1200PM,0115PM
906,MND,1026,R,0600PM,0850PM
907,MND,1030,M,0530PM,0820PM
908,MND,1030,W,0600PM,0850PM
909,MND,4005,T,0530PM,0820PM
910,MND,3007,M,0400PM,0650PM
911,MND,4005,R,0400PM,0650PM
912,MND,4005,R,0400PM,0650PM
913,RVR,1006,M,0300PM,0415PM
914,RVR,1008,W,1200PM,0115PM
915,RVR,1002,W,0130PM,0245PM
916,LIB,126,M,0130PM,0245PM
917,RVR,3005,W,0900AM,1140AM
918,RVR,3005,T,0300PM,0540PM
919,RVR,3005,F,1000AM,1240PM
920,RVR,3005,M,0900AM,1040AM
921,RVR,3001,TR,1200PM,1250PM
922,RVR,1015,MW,0400PM,0515PM
923,EUR,114,MW,0530PM,0645PM
924,ARC,3009,MW,0430PM,0545PM
925,CLV,123,TR,0130PM,0245PM
926,EUR,114,MW,0300PM,0415PM
927,RVR,3017,W,0600PM,0840PM
928,WEB,ONLINE,R,0430PM,0545PM
929,RVR,1006,T,0430PM,0545PM
930,RVR,3009,M,0600PM,0840PM
931,RVR,3009,T,0600PM,0840PM
932,RVR,3009,R,0600PM,0840PM
933,AMD,152,T,0800AM,0850AM
934,WEB,ONLINE,R,0800AM,0850AM
935,RVR,3001,F,1000AM,1050AM
936,RVR,3001,R,0600PM,0840PM
937,RVR,3001,F,0600PM,0840PM
938,RVR,3001,F,1100AM,1150AM
939,RVR,3001,F,1200PM,0240PM
940,RVR,3009,W,1000AM,1050AM
941,RVR,3009,W,1100AM,0140PM
942,YSM,119,M,0130PM,0245PM
943,SLN,2002,MW,0900AM,0950AM
944,SLN,2002,MW,1000AM,1050AM
945,SLN,2002,MW,1100AM,1150AM
946,SLN,2002,MW,1200PM,1250PM
947,SLN,2002,TR,0130PM,0245PM
948,SLN,2002,TR,1030AM,1145AM
949,SLN,2002,TR,1200PM,0115PM
950,DH,212,MW,0900AM,1015AM
951,DH,212,TR,0130PM,0245PM
952,DH,212,MW,1200PM,0115PM
953,DH,212,TR,0300PM,0415PM
954,ALP,153,TR,1030AM,1145AM
955,ALP,153,MW,1200PM,0115PM
956,ALP,144,MW,0900AM,1015AM
957,ALP,144,MW,0300PM,0415PM
958,EUR,104,T,0130PM,0245PM
959,DH,209,T,1030AM,1145AM
960,ARC,1011,MW,1200PM,0115PM
961,ALP,144,TR,1030AM,1145AM
962,YSM,127,TR,0130PM,0245PM
963,ALP,156,MW,1030AM,1145AM
964,DH,212,MW,0130PM,0245PM
965,ALP,144,TR,0300PM,0415PM
966,SQU,338,MW,0130PM,0245PM
967,ALP,156,TR,0300PM,0415PM
968,EUR,109,TR,0130PM,0245PM
969,EUR,109,TR,0130PM,0245PM
970,EUR,109,TR,0130PM,0245PM
971,ALP,156,MW,0130PM,0245PM
972,ALP,144,TR,1200PM,0115PM
973,MND,3013,MW,0300PM,0415PM
974,SHS,240,MW,1200PM,0115PM
975,ALP,144,TR,0130PM,0245PM
976,ALP,144,MW,0130PM,0245PM
977,ARC,1010,M,1200PM,0115PM
978,ALP,144,MW,0530PM,0645PM
979,ALP,156,T,0130PM,0245PM
980,ALP,156,MW,1200PM,0115PM
981,DH,213,TR,0300PM,0415PM
982,CLV,123,MW,0130PM,0245PM
983,EUR,109,T,1200PM,0115PM
984,YSM,171,F,0800AM,1030AM
985,SLN,2002,F,0100PM,0500PM
986,OUT,FIELDS,F,0800AM,1050AM
987,ALP,153,M,0530PM,0820PM
988,FLS,1049,MW,0200PM,0350PM
989,FLS,1049,MW,0400PM,0550PM
990,FLS,1049,MW,0900AM,1015AM
991,FLS,1049,MW,1200PM,0115PM
992,FLS,1050,MW,0900AM,1015AM
993,FLS,2604,MW,1030AM,1145AM
994,FLS,1063,TR,0900AM,1015AM
995,FLS,1063,TR,1030AM,1145AM
996,FLS,1050,MW,1030AM,1145AM
997,FLS,1050,MW,1200PM,0115PM
998,FLS,1049,T,1200PM,0150PM
999,FLS,1063,T,1200PM,0150PM
1000,FLS,1050,F,0900AM,1150AM
1001,FLS,1050,TR,0900AM,1015AM
1002,FLS,1050,TR,1030AM,1145AM
1003,FLS,2604,MW,0900AM,1015AM
1004,FLS,2206B,TR,0900AM,1015AM
1005,FLS,2604,TR,0900AM,1015AM
1006,FLS,2604,TR,1030AM,1145AM
1007,FLS,2206B,MW,0800AM,0850AM
1008,FLS,2206B,MW,0900AM,1015AM
1009,FLS,2206B,T,0200PM,0250PM
1010,OFF,CAMPUS,F,0800AM,0200PM
1011,FLS,2604,T,1200PM,1250PM
1012,FLS,2206B,TR,0530PM,0620PM
1013,FLS,2206B,F,0100PM,0250PM
1014,FLS,2206B,T,1200PM,1250PM
1015,FLS,2206B,R,0300PM,0350PM
1016,FLS,2206B,R,0100PM,0250PM
1017,WEB,ONLINE,TR,0600PM,0650PM
1018,FLS,2204,RF,0900AM,0500PM
1019,FLS,1051,M,0130PM,0220PM
1020,FLS,1051,M,0130PM,0220PM
1021,FLS,1051,M,0130PM,0220PM
1022,FLS,1051,M,0130PM,0220PM
1023,FLS,2604,R,1200PM,1250PM
1024,FLS,2604,R,1200PM,1250PM
1025,FLS,2604,R,1200PM,1250PM
1026,FLS,2604,R,1200PM,1250PM
1027,FLS,2204,M,1100AM,1150AM
1028,FLS,2204,TR,0800AM,0915AM
1029,FLS,2204,MW,0930AM,1045AM
1030,FLS,2204,TR,0930AM,1045AM
1031,FLS,2204,MW,0800AM,0915AM
1032,FLS,1051,W,1100AM,1150AM
1033,FLS,1051,MW,0930AM,1045AM
1034,FLS,1051,M,1100AM,1150AM
1035,FLS,1051,MW,0800AM,0915AM
1036,FLS,1051,TR,0800AM,0915AM
1037,FLS,2604,R,0500PM,0550PM
1038,OFF,CAMPUS,MWF,0700AM,0600PM
1039,FLS,2604,TR,0300PM,0415PM
1040,FLS,2204,MW,0600PM,0715PM
1041,FLS,2604,T,0500PM,0550PM
1042,WEB,ONLINE,MW,0600PM,0650PM
1043,OFF,CAMPUS,MTWRF,0700AM,0600PM
1044,LIB,53,MW,0200PM,0250PM
1045,TEB,1218,M,0310PM,0450PM
1046,RVR,1013,W,0310PM,0450PM
1047,LIB,53,TR,0200PM,0250PM
1048,RVR,2013,T,1000AM,1140AM
1049,RVR,2013,R,1000AM,1140AM
1050,RVR,5029,TR,1030AM,1120AM
1051,RVR,2001,R,1130AM,0110PM
1052,EUR,102,MW,1100AM,1150AM
1053,RVR,2013,M,1200PM,0140PM
1054,RVR,2013,W,1200PM,0140PM
1055,EUR,109,TR,0300PM,0350PM
1056,RVR,2013,T,0110PM,0250PM
1057,RVR,2013,R,0110PM,0250PM
1058,RVR,5029,TR,1030AM,1120AM
1059,RVR,5029,T,1130AM,0110PM
1060,ARC,1010,T,0100PM,0250PM
1061,RVR,2013,F,0900AM,1040AM
1062,RVR,2009,F,1100AM,1240PM
1063,BRH,208,F,0900AM,1050AM
1064,RVR,2013,F,1100AM,1240PM
1065,RVR,2013,F,0200PM,0340PM
1066,TAH,1026,MW,0900AM,0950AM
1067,ARC,1014,M,1000AM,1140AM
1068,RVR,2013,W,1000AM,1140AM
1069,ARC,1010,R,0100PM,0250PM
1070,RVR,2001,F,0100PM,0240PM
1071,RVR,2001,F,0300PM,0440PM
1072,TAH,1003,F,0900AM,1050AM
1073,RVR,1013,F,1100AM,1240PM
1074,RVR,1013,F,0200PM,0340PM
1075,RVR,2001,MW,1200PM,1250PM
1076,RVR,2003,MW,0200PM,0250PM
1077,RVR,2003,MW,0300PM,0350PM
1078,ALP,144,F,0900AM,1050AM
1079,RVR,5029,M,1000AM,1140AM
1080,RVR,5029,W,1000AM,1140AM
1081,TAH,1004,W,0100PM,0250PM
1082,RVR,1013,W,1000AM,1140AM
1083,TEB,1218,W,0300PM,0440PM
1084,YSM,127,M,0100PM,0250PM
1085,RVR,5029,M,0300PM,0440PM
1086,RVR,5029,W,0300PM,0440PM
1087,SQU,456,MW,0200PM,0250PM
1088,RVR,2013,M,0300PM,0440PM
1089,RVR,2013,W,0300PM,0440PM
1090,ALP,144,F,1100AM,1250PM
1091,RVR,2013,M,1000AM,1140AM
1092,RVR,2001,W,1000AM,1140AM
1093,RVR,5029,MW,1200PM,1250PM
1094,RVR,2003,TR,0200PM,0250PM
1095,RVR,2013,TR,1200PM,1250PM
1096,RVR,2009,MW,0200PM,0250PM
1097,RVR,1002,TR,1200PM,0115PM
1098,ARC,1014,TR,0400PM,0515PM
1099,SQU,325,TR,0530PM,0645PM
1100,RVR,5029,TR,0130PM,0245PM
1101,RVR,1002,MW,1200PM,0115PM
1102,RVR,1008,TR,1200PM,1250PM
1103,RVR,2009,T,0110PM,0250PM
1104,RVR,2001,R,0110PM,0250PM
1105,YSM,127,MW,0900AM,0950AM
1106,RVR,2009,M,1000AM,1140AM
1107,RVR,2009,W,1000AM,1140AM
1108,ARC,1014,MW,0100PM,0150PM
1109,RVR,1013,M,0200PM,0340PM
1110,EUR,109,MW,0200PM,0250PM
1111,RVR,2001,M,0300PM,0440PM
1112,RVR,2009,W,0300PM,0440PM
1113,RVR,2001,W,0200PM,0340PM
1114,RVR,1002,TR,0130PM,0245PM
1115,RVR,1002,TR,0300PM,0415PM
1116,RVR,1002,TR,1030AM,1145AM
1117,RVR,1013,TR,0900AM,1015AM
1118,KDM,145A,T,0100PM,0350PM
1119,MRP,1007,T,0100PM,0350PM
1120,KDM,266,T,0100PM,0350PM
1121,WEB,ONLINE,R,0100PM,0350PM
1122,KDM,145A,T,0800AM,1050AM
1123,KDM,266,T,0800AM,1050AM
1124,WEB,ONLINE,R,0800AM,1050AM
1125,MRP,1007,T,0800AM,1050AM
1126,RVR,1013,TR,0130PM,0245PM
1127,RVR,1013,TR,0400PM,0515PM
1128,TAH,1003,MWF,1100AM,1150AM
1129,RVR,1013,MWF,0100PM,0150PM
1130,RVR,2009,TR,1030AM,1145AM
1131,MRP,1014,TR,1200PM,0115PM
1132,TAH,1004,TR,1200PM,0115PM
1133,YSM,135,TR,1030AM,1145AM
1134,SQU,301,TR,0530PM,0645PM
1135,TAH,1004,TR,0900AM,1015AM
1136,AMD,151,MW,0400PM,0515PM
1137,WEB,ONLINE,TR,1030AM,1145AM
1138,WEB,ONLINE,TR,1200PM,0115PM
1139,RVR,1013,TR,1200PM,0115PM
1140,CLV,141,TR,1030AM,1145AM
1141,EUR,113,M,0400PM,0650PM
1142,EUR,102,W,0400PM,0650PM
1143,MND,1022,F,0400PM,0650PM
1144,EUR,113,MW,0130PM,0245PM
1145,TAH,1007,MW,0300PM,0415PM
1146,EUR,104,TR,0900AM,1015AM
1147,SQU,316,MW,0530PM,0645PM
1148,RVR,1008,TR,1030AM,1145AM
1149,RVR,1006,TR,0300PM,0415PM
1150,RVR,1002,TR,0430PM,0545PM
1151,TSC,1002,TR,0530PM,0645PM
1152,LIB,3021,MWF,0900AM,0950AM
1153,DH,208,TR,0900AM,1015AM
1154,SQU,316,TR,0530PM,0645PM
1155,SQU,316,TR,0700PM,0815PM
1156,ARC,1015,TR,0130PM,0245PM
1157,DH,107,TR,1030AM,1145AM
1158,BNC,1025,TR,1030AM,1145AM
1159,RVR,1006,TR,1200PM,0115PM
1160,RVR,1015,MW,0400PM,0515PM
1161,EUR,106,TR,0200PM,0315PM
1162,ALP,236,MWF,0900AM,0950AM
1163,TSC,1002,MW,0530PM,0645PM
1164,RVR,1008,TR,0130PM,0245PM
1165,BRH,202,MWF,1000AM,1050AM
1166,EUR,114,MW,0530PM,0645PM
1167,RVR,1006,MWF,0100PM,0150PM
1168,RVR,1002,TR,0900AM,1015AM
1169,TAH,1007,TR,0400PM,0515PM
1170,HMB,202,TR,0530PM,0645PM
1171,CLV,123,TR,0130PM,0245PM
1172,RVR,1013,TR,1030AM,1145AM
1173,ALP,144,MW,1030AM,1145AM
1174,WEB,ONLINE,TR,0530PM,0645PM
1175,TAH,1007,MW,1030AM,1145AM
1176,LIB,127,TR,1030AM,1145AM
1177,TSC,1001,M,0530PM,0620PM
1178,TSC,1001,M,0700PM,0750PM
1179,WEB,ONLINE,W,0530PM,0620PM
1180,WEB,ONLINE,W,0700PM,0750PM
1181,WEB,ONLINE,F,0100PM,0150PM
1182,WEB,ONLINE,F,0200PM,0250PM
1183,EUR,101,TR,1030AM,1145AM
1184,YSM,119,TR,1200PM,0115PM
1185,SHS,240,TR,1200PM,0115PM
1186,RVR,2010,TR,0400PM,0515PM
1187,RVR,1008,MW,0500PM,0615PM
1188,RVR,2010,TR,1030AM,1145AM
1189,RVR,2009,TR,0900AM,1015AM
1190,BRH,203,F,0200PM,0450PM
1191,BRH,202,MWF,1000AM,1050AM
1192,ARC,1016,T,1200PM,1250PM
1193,BRH,203,TR,0130PM,0245PM
1194,EUR,113,TR,0130PM,0245PM
1195,EUR,113,TR,0600PM,0715PM
1196,SHS,240,TR,1200PM,0115PM
1197,EUR,307G,MW,0900AM,1050AM
1198,EUR,307G,MW,1200PM,0150PM
1199,EUR,307G,T,0900AM,1050AM
1200,EUR,307G,R,0900AM,1050AM
1201,LSN,2300,T,1200PM,0150PM
1202,SHS,145,MW,0530PM,0720PM
1203,EUR,307G,M,0430PM,0620PM
1204,EUR,307G,M,0630PM,0820PM
1205,SQU,142,W,0430PM,0620PM
1206,EUR,309,TR,0900AM,1050AM
1207,AMD,262,MW,1200PM,0150PM
1208,EUR,309,TR,1200PM,0150PM
1209,LIB,126,W,1200PM,0150PM
1210,YSM,127,M,1100AM,1250PM
1211,LIB,128,W,1100AM,1250PM
1212,YSM,133,M,0530PM,0720PM
1213,YSM,133,W,0530PM,0720PM
1214,BRH,209,T,0530PM,0720PM
1215,SQU,128,MW,0900AM,1050AM
1216,AMD,309,MW,1100AM,1250PM
1217,YSM,133,T,0300PM,0350PM
1218,SHS,143,MW,0300PM,0450PM
1219,BRH,109,W,0430PM,0720PM
1220,SHS,250,MW,0300PM,0415PM
1221,BRH,109,T,0430PM,0720PM
1222,SLN,1010,TR,1200PM,1225PM
1223,SLN,1010,TR,1225PM,0115PM
1224,SLN,1010,TR,0130PM,0155PM
1225,SLN,1010,TR,0155PM,0245PM
1226,SLN,1010,MW,0900AM,0925AM
1227,SLN,1010,MW,0925AM,1015AM
1228,SHS,132,MW,0430PM,0455PM
1229,SHS,132,MW,0455PM,0545PM
1230,SHS,132,MW,0300PM,0325PM
1231,SHS,132,MW,0325PM,0415PM
1232,SLN,1010,TR,1200PM,1225PM
1233,SLN,1010,TR,1225PM,0115PM
1234,SLN,1010,TR,0130PM,0155PM
1235,SLN,1010,TR,0155PM,0245PM
1236,SHS,132,TR,0130PM,0155PM
1237,SHS,132,TR,0155PM,0245PM
1238,SLN,1010,MW,0900AM,0925AM
1239,SLN,1010,MW,0925AM,1015AM
1240,SHS,132,MW,0900AM,0925AM
1241,SHS,132,MW,0925AM,1015AM
1242,SHS,132,TR,0130PM,0155PM
1243,SHS,132,TR,0155PM,0245PM
1244,SHS,132,MW,0900AM,0925AM
1245,SHS,132,MW,0925AM,1015AM
1246,SLN,1010,MW,1200PM,1225PM
1247,SLN,1010,MW,1225PM,0115PM
1248,SLN,1010,MW,0130PM,0155PM
1249,SLN,1010,MW,0155PM,0245PM
1250,SHS,240,TR,0130PM,0245PM
1251,SHS,240,TR,0300PM,0415PM
1252,SHS,132,MW,1200PM,1250PM
1253,SHS,132,MW,0100PM,0150PM
1254,SLN,1010,MW,1100AM,1150AM
1255,SLN,1010,F,1100AM,1150AM
1256,SLN,1010,F,0900AM,1040AM
1257,SLN,1010,TR,0900AM,0925AM
1258,SLN,1010,TR,0930AM,1050AM
1259,ALP,224,MW,0730AM,0845AM
1260,ALP,224,MW,0300PM,0415PM
1261,ALP,224,MW,0430PM,0545PM
1262,ALP,224,TR,0900AM,1015AM
1263,ALP,224,TR,1030AM,1145AM
1264,ALP,224,TR,1200PM,0115PM
1265,ALP,224,TR,0130PM,0245PM
1266,ALP,224,TR,0430PM,0545PM
1267,ALP,224,TR,0600PM,0715PM
1268,TAH,1009,TR,0300PM,0415PM
1269,MND,2004,TR,1200PM,0115PM
1270,TAH,1009,TR,0900AM,1015AM
1271,TAH,1009,TR,1030AM,1145AM
1272,TSC,1001,MW,1100AM,1215PM
1273,TSC,1002,M,0900AM,1040AM
1274,MRP,1003,T,1200PM,0320PM
1275,MRP,1003,R,1200PM,0320PM
1276,KDM,264,F,0900AM,1220PM
1277,KDM,264,F,0100PM,0420PM
1278,ARC,3004,MW,0300PM,0415PM
1279,KDM,264,M,0300PM,0540PM
1280,MRP,1000,MWF,1000AM,1050AM
1281,MRP,1001,MW,1200PM,0115PM
1282,MRP,1001,M,0530PM,0820PM
1283,WEB,ONLINE,TR,1030AM,1145AM
1284,WEB,ONLINE,TR,0130PM,0245PM
1285,MRP,1001,MWF,1000AM,1050AM
1286,MRP,1001,MWF,1100AM,1150AM
1287,MRP,1001,MW,0130PM,0245PM
1288,MRP,1001,MW,0300PM,0415PM
1289,MRP,1001,TR,0900AM,1015AM
1290,MRP,1001,TR,1200PM,0115PM
1291,ALP,138,MWF,1000AM,1050AM
1292,ALP,138,MW,0130PM,0245PM
1293,AMD,217,TR,1030AM,1145AM
1294,AMD,217,MW,0300PM,0415PM
1295,TAH,1025,TR,0900AM,1015AM
1296,AMD,217,MWF,1100AM,1150AM
1297,MRP,1001,TR,0130PM,0245PM
1298,AMD,217,MW,1200PM,0115PM
1299,TAH,1025,TR,0300PM,0415PM
1300,AMD,217,TR,0300PM,0415PM
1301,TAH,1025,TR,1200PM,0115PM
1302,ALP,138,MW,1200PM,0115PM
1303,MRP,1011,MW,0300PM,0415PM
1304,AMD,240,TR,0130PM,0245PM
1305,AMD,220,TR,0130PM,0245PM
1306,AMD,240,TR,1200PM,0115PM
1307,AMD,220,TR,1200PM,0115PM
1308,AMD,220,MW,0130PM,0245PM
1309,MRP,1016,MW,0130PM,0245PM
1310,MRP,1011,TR,0900AM,1015AM
1311,MRP,1011,TR,1030AM,1145AM
1312,MRP,1011,TR,0300PM,0415PM
1313,MRP,1011,W,0530PM,0820PM
1314,AMD,217,MWF,1000AM,1050AM
1315,TAH,1025,TR,1030AM,1145AM
1316,ALP,156,MW,0300PM,0415PM
1317,MRP,1001,TR,0300PM,0415PM
1318,TAH,1026,MWF,1100AM,1150AM
1319,WEB,ONLINE,T,0530PM,0820PM
1320,AMD,217,TR,0130PM,0245PM
1321,AMD,217,MW,0130PM,0245PM
1322,AMD,217,M,0530PM,0820PM
1323,TAH,1025,T,0530PM,0820PM
1324,MRP,1011,R,0530PM,0820PM
1325,AMD,217,W,0530PM,0820PM
1326,EUR,101,M,0100PM,0350PM
1327,TAH,1002,R,0900AM,1150AM
1328,EUR,309,W,0400PM,0650PM
1329,EUR,101,W,0700PM,0950PM
1330,EUR,106,M,0100PM,0350PM
1331,EUR,101,R,0100PM,0350PM
1332,EUR,106,M,0400PM,0650PM
1333,EUR,106,W,0400PM,0650PM
1334,EUR,423,M,0100PM,0350PM
1335,EUR,413C,M,0100PM,0350PM
1336,EUR,413C,W,0700PM,0950PM
1337,EUR,423,W,0700PM,0950PM
1338,EUR,423,W,0100PM,0350PM
1339,EUR,309,W,0100PM,0350PM
1340,EUR,320,M,0900AM,1150AM
1341,EUR,106,T,0700PM,0950PM
1342,EUR,115,W,0100PM,0350PM
1343,EUR,415,M,0100PM,0350PM
1344,EUR,115,M,0700PM,0950PM
1345,EUR,413C,M,0400PM,0550PM
1346,EUR,413C,T,0500PM,0650PM
1347,EUR,106,T,0400PM,0650PM
1348,EUR,106,T,0900AM,1150AM
1349,EUR,101,M,0700PM,0950PM
1350,EUR,106,R,0400PM,0650PM
1351,EUR,101,W,0900AM,1150AM
1352,EUR,320,W,0400PM,0650PM
1353,EUR,320,T,0400PM,0650PM
1354,EUR,309,T,0400PM,0650PM
1355,EUR,415,M,0900AM,1050AM
1356,EUR,425,M,0900AM,1050AM
1357,EUR,415,M,0400PM,0550PM
1358,EUR,425,M,0400PM,0550PM
1359,EUR,415,W,0100PM,0250PM
1360,EUR,425,W,0100PM,0250PM
1361,EUR,425,W,0500PM,0650PM
1362,EUR,415,W,0500PM,0650PM
1363,EUR,415,T,0500PM,0650PM
1364,EUR,413C,T,0700PM,0850PM
1365,EUR,415,W,0700PM,0850PM
1366,EUR,415,T,0200PM,0350PM
1367,EUR,413C,M,0700PM,0850PM
1368,EUR,309,M,0400PM,0550PM
1369,EUR,413C,R,0700PM,0850PM
1370,EUR,315,F,0530PM,0930PM
1371,EUR,315,S,0800AM,0530PM
1372,EUR,315,S,0800AM,0530PM
1373,EUR,315,F,0530PM,0930PM
1374,EUR,315,S,0800AM,0530PM
1375,EUR,315,F,0530PM,0930PM
1376,EUR,309,F,0530PM,0930PM
1377,EUR,309,S,0800AM,0530PM
1378,EUR,309,F,0530PM,0930PM
1379,EUR,309,F,0530PM,0930PM
1380,EUR,309,S,0800AM,0530PM
1381,EUR,309,S,0800AM,0530PM
1382,EUR,103,S,0800AM,0530PM
1383,EUR,103,F,0530PM,0930PM
1384,EUR,103,S,0800AM,0530PM
1385,EUR,103,S,0800AM,0530PM
1386,EUR,103,F,0530PM,0930PM
1387,EUR,103,F,0530PM,0930PM
1388,EUR,103,S,0800AM,0530PM
1389,EUR,103,F,0530PM,0930PM
1390,EUR,103,F,0530PM,0930PM
1391,EUR,103,S,0800AM,0530PM
1392,EUR,103,F,0530PM,0930PM
1393,EUR,103,S,0800AM,0530PM
1394,EUR,320,S,0800AM,0530PM
1395,EUR,320,F,0530PM,0930PM
1396,EUR,320,F,0530PM,0930PM
1397,EUR,320,S,0800AM,0530PM
1398,EUR,320,F,0530PM,0930PM
1399,EUR,320,S,0800AM,0530PM
1400,EUR,102,F,0530PM,0930PM
1401,EUR,102,S,0800AM,0530PM
1402,EUR,102,S,0800AM,0530PM
1403,EUR,102,F,0530PM,0930PM
1404,EUR,102,F,0530PM,0930PM
1405,EUR,102,S,0800AM,0530PM
1406,EUR,320,S,0800AM,0530PM
1407,EUR,320,F,0530PM,0930PM
1408,EUR,320,S,0800AM,0530PM
1409,EUR,320,F,0530PM,0930PM
1410,EUR,320,S,0800AM,0530PM
1411,EUR,320,F,0530PM,0930PM
1412,WEB,ONLINE,M,0530PM,0840PM
1413,WEB,ONLINE,M,0530PM,0840PM
1414,ARC,3004,S,0800AM,1200PM
1415,EUR,113,F,0600PM,1000PM
1416,ARC,1009,S,0100PM,0500PM
1417,WEB,ONLINE,W,0530PM,0840PM
1418,WEB,ONLINE,R,0430PM,0720PM
1419,WEB,ONLINE,M,0430PM,0520PM
1420,WEB,ONLINE,W,0430PM,0520PM
1421,WEB,ONLINE,M,0530PM,0820PM
1422,WEB,ONLINE,W,0530PM,0820PM
1423,WEB,ONLINE,T,0430PM,0720PM
1424,WEB,ONLINE,T,0430PM,0720PM
1425,WEB,ONLINE,R,0430PM,0720PM
1426,WEB,ONLINE,W,0430PM,0930PM
1427,WEB,ONLINE,M,0430PM,0720PM
1428,WEB,ONLINE,W,0430PM,0930PM
1429,WEB,ONLINE,W,0430PM,0720PM
1430,EUR,313E,M,0400PM,0650PM
1431,EUR,108,R,0430PM,0720PM
1432,WEB,ONLINE,M,0430PM,0720PM
1433,WEB,ONLINE,W,0430PM,0720PM
1434,EUR,313E,M,0700PM,0950PM
1435,WEB,ONLINE,W,0430PM,0720PM
1436,WEB,ONLINE,T,0430PM,0720PM
1437,EUR,112,T,1030AM,1145AM
1438,EUR,112,R,1030AM,1145AM
1439,EUR,313E,W,0900AM,1015AM
1440,EUR,313E,M,0900AM,1015AM
1441,EUR,313E,MW,1030AM,1145AM
1442,ARC,3006,MW,0900AM,1015AM
1443,EUR,313E,MW,0130PM,0245PM
1444,EUR,112,MW,0900AM,1015AM
1445,EUR,313E,MW,1200PM,0115PM
1446,EUR,315,T,1200PM,0115PM
1447,EUR,307G,TR,0130PM,0245PM
1448,BRH,204,R,0900AM,1015AM
1449,EUR,223,T,0400PM,0650PM
1450,BRH,105,W,0400PM,0650PM
1451,ARC,3006,T,1200PM,0115PM
1452,EUR,315,R,1030AM,1145AM
1453,EUR,320,R,1200PM,0115PM
1454,AMD,217,R,1200PM,0115PM
1455,EUR,315,T,0900AM,1015AM
1456,ARC,3006,MW,0300PM,0415PM
1457,DH,209,R,0900AM,1015AM
1458,EUR,313E,TR,1030AM,1145AM
1459,TAH,1004,MW,0300PM,0415PM
1460,BRH,204,W,1200PM,0115PM
1461,EUR,223,TR,0130PM,0245PM
1462,EUR,112,MW,0130PM,0245PM
1463,AMD,261,TR,1030AM,1145AM
1464,EUR,313E,T,0900AM,1015AM
1465,EUR,313E,R,0900AM,1015AM
1466,ARC,3006,MW,1030AM,1145AM
1467,EUR,111,TR,1200PM,0115PM
1468,ARC,3006,MW,1200PM,0115PM
1469,ARC,3006,MW,0130PM,0245PM
1470,EUR,313E,TR,0300PM,0415PM
1471,EUR,313E,TR,0130PM,0245PM
1472,BNC,1029,MW,0130PM,0245PM
1473,BNC,1029,TR,1030AM,1145AM
1474,EUR,112,M,0300PM,0415PM
1475,EUR,111,R,0130PM,0245PM
1476,EUR,112,M,1200PM,0115PM
1477,ARC,1010,T,0430PM,0720PM
1478,WEB,ONLINE,T,0530PM,0820PM
1479,BRH,104,MW,1030AM,1145AM
1480,WEB,ONLINE,M,0530PM,0820PM
1481,EUR,112,TR,1200PM,0115PM
1482,BNC,1029,MW,0300PM,0415PM
1483,EUR,112,TR,0130PM,0245PM
1484,BRH,209,W,0400PM,0650PM
1485,EUR,112,TR,0900AM,1015AM
1486,WEB,ONLINE,TR,1030AM,1145AM
1487,AMD,309,TR,0900AM,1015AM
1488,SQU,128,TR,0300PM,0415PM
1489,EUR,315,T,0400PM,0650PM
1490,WEB,ONLINE,TR,1030AM,1145AM
1491,EUR,215,TR,1200PM,0115PM
1492,DLN,1010,TR,0800AM,0950AM
1493,BRH,114,W,0900AM,1150AM
1494,EUR,115,T,1030AM,1145AM
1495,WEB,ONLINE,TR,1030AM,1145AM
1496,WEB,ONLINE,M,0530PM,0820PM
1497,ARC,1016,T,0400PM,0650PM
1498,YSM,127,W,0530PM,0820PM
1499,WEB,ONLINE,M,0400PM,0650PM
1500,WEB,ONLINE,T,0700PM,0950PM
1501,WEB,ONLINE,TR,0900AM,1015AM
1502,ARC,3004,MW,0130PM,0245PM
1503,BNC,1029,TR,0130PM,0245PM
1504,BNC,1029,TR,1200PM,0115PM
1505,WEB,ONLINE,TR,1200PM,0115PM
1506,WEB,ONLINE,R,0530PM,0820PM
1507,BNC,1029,MW,1030AM,1145AM
1508,LIB,53,T,1200PM,0115PM
1509,EUR,105,T,1030AM,1145AM
1510,BNC,1029,R,0530PM,0645PM
1511,EUR,101,W,0400PM,0650PM
1512,WEB,ONLINE,M,0430PM,0720PM
1513,EUR,105,MW,1200PM,0115PM
1514,ALP,148,MW,0130PM,0245PM
1515,EUR,415,TR,1200PM,0115PM
1516,EUR,105,TR,0130PM,0245PM
1517,EUR,211,M,0430PM,0720PM
1518,EUR,329,M,0500PM,0750PM
1519,RVR,1006,M,0300PM,0415PM
1520,RVR,1008,W,1200PM,0115PM
1521,RVR,1002,W,0130PM,0245PM
1522,LIB,126,M,0130PM,0245PM
1523,RVR,3005,W,0900AM,1140AM
1524,RVR,3005,T,0300PM,0540PM
1525,RVR,3005,F,1000AM,1240PM
1526,RVR,3005,M,0900AM,1040AM
1527,RVR,3005,F,0100PM,0340PM
1528,RVR,3001,TR,1200PM,1250PM
1529,EUR,113,TR,0300PM,0415PM
1530,BRH,110,W,1030AM,1145AM
1531,EUR,113,M,1030AM,1145AM
1532,AMD,250,TR,1030AM,1145AM
1533,YSM,117,TR,0130PM,0245PM
